property_code,price,address_line1,address_line2,bed,area,full_bath,half_bath,description,features,source
MLS#4828193,"$70,500",19421 E Todd Evans Road,"Black Canyon City, AZ 85324",3 Beds,"1,404 Sq. Ft",2 Full Baths,,3 Bedroom 2 Bath Mobil Home in a quiet peaceful neighborhood. No through traffic patio on front of home mature trees. 1/2 acre (approx) lot to garden or play with your toys!,"Age : 11-20 Years Old. 
Amenities : Patio, Ceiling Fan. 
Appliances : Oven. 
ArchitectureStyle : Ranch. 
FloorCovering : Carpet, Tile. 
HeatingFuel : Natural Gas. 
RoofType : Composition Shingle. 
Rooms : Bedroom, Dining Room, Full Bath, Kitchen, Workshop. 
ViewType : Mountain. 
",Realty One Group
MLS#4835071,"$70,000",18688 E AGUA Vista,"Black Canyon City, AZ 85324",,,,,THIS VIEW LOT IS IN A SUBDIVISION OF LARGE CUSTOM HOMES NESTLED IN A CANYON ABOVE THE AGUA FRIA RIVER. SPECTACULAR CANYON VIEW AS WELL AS OF THE BRADSHAW MOUNTAINS WHERE THE AIR IS CLEAN AND CLEAR. ALL WITHIN AN EASY COMMUTE â¦Read More,"ArchitectureStyle : Other. 
LotSize : 0.7 Acres. 
RoofType : Unknown. 
ViewType : Mountain. 
",Coldwell Banker Daisy Mountain
MLS#2616830,"$67,500",50600 N Old Black Canyon Road,"Black Canyon City, AZ 85324",,,,,"Access road is old Black Canyon road and very rough, large pickup or 4X4. Follow old road south from electric transmission tower to gas pipeline road. Turn left on pipe road .2 mile to Prudential sign on left or east side. BLM access will be completed Spring of 2008. Process for state land access â¦Read More","ArchitectureStyle : Ranch. 
LotSize : 3 Acres. 
RoofType : Unknown. 
","Americana Arizona, LLC"
MLS#4824906,"$54,900",20101 E SQUAW VALLEY Road,"Black Canyon City, AZ 85324",,,,,This triplex fixer would be a good investment for the right buyer. 3 separate units ready for your vision to complete. Complex is sold as is cash sale.,"Age : 21-30 Years Old. 
ArchitectureStyle : Other. 
CoolingSystem : None. 
FloorCovering : Concrete, Tile - Ceramic, Vinyl. 
HeatingFuel : Electric. 
RoofType : Unknown. 
","Quantum of AZ, REALTORS"
MLS#4722011,"$45,600",33259 S Canyon Road,"Black Canyon City, AZ 85324",3 Beds,"1,056 Sq. Ft",1 Full Bath,,"*All offers are contingent upon a successful agreement between seller and seller's lender(s), acceptable to both, to sell premises for less than total loan amount(s) and payoff(s).*","Age : 41-50 Years Old. 
ArchitectureStyle : Other. 
FloorCovering : Concrete, Laminate. 
HeatingFuel : Electric. 
RoofType : Composition Shingle. 
Rooms : Bedroom, Dining Room, Full Bath. 
",Diverse Solutions Realty
MLS#4657463,"$40,000",34558 S ROADRUNNER RD,"Black Canyon City, AZ 85324",2 Beds,784 Sq. Ft,1 Full Bath,,This 1979 2 Bedroom 1 Bath manufactured home sits on a .8 acre lot with beautiful mountain views. Home is not currently affixed but can be if desired. Owner will carryback with the right offer. The address on the mailbox is 34555 but the recorded address is 34558. Buyer to verify all information. â¦Read More,"Age : 21-30 Years Old. 
Basement : None. 
Cooling : Other A/C. 
ExteriorDescription : Other, Vinyl Siding. 
ExteriorLivingSpace : Patio. 
Flooring : Mixed Flooring. 
HeatingType : Forced Air. 
LeaseRequirements : Pets Allowed. 
LotSize : Under 1/2 Acre. 
Roof : Metal Roof. 
Sewer : Septic. 
Style : Other Style. 
Views : Mountain. 
Water : City Water. 
Zoning : Residential. 
",CENTURY 21 Desert Estates Realty
MLS#4781544,"$30,000",19260 E Scenic Loop Road,"Black Canyon City, AZ 85324",,,,,Zoned for horses! Great price for 2.35 acre lot with panoramic views of the surrounding mountain ranges! Large level hilltop property is zoned for up to 4 horses. Paved road to property. Owner is willing to carry. Contact listing agent to negotiate terms and conditions.,"ArchitectureStyle : Other. 
LotSize : 2.35 Acres. 
RoofType : Unknown. 
ViewType : City, Mountain. 
",Maynard Properties.NET
MLS#4621064,"$29,000",19000 E MAREN Avenue,"Black Canyon City, AZ 85324",,,,,"Looking for privacy and views? This is it!! Private 2 acre parcel with Black Canyon River frontage, stunning mountain views, high vegetated land, level and usable, horse privileges, private well, power to the property. Hurry , best value in Black Canyon City!!Seller will consider Seller carry back â¦Read More","ArchitectureStyle : Other. 
LotSize : 2.05 Acres. 
RoofType : Unknown. 
ViewType : Mountain. 
","Americana Arizona, LLC"
MLS#4848089,"$28,995",19350 E SAGUARO Drive,"Black Canyon City, AZ 85324",,,,,This cul-de-sac lot is waiting for your site built or manufactured home! Great views of the surrounding hills and mountains. Level lot with utilities to property line. Paved road. The adjacent approx. 1/2 acre lot is also available for same price.,"ArchitectureStyle : Other. 
LotSize : 0.73 Acres. 
RoofType : Unknown. 
",Courtney Valleywide Properties
MLS#4749944,"$15,000",20650 E Amethyst Place,"Black Canyon City, AZ 85324",,,,,Great Views on this corner lot. Small town living and only 12 mins to Anthem. Lots of vegetation.,"ArchitectureStyle : Other. 
LotSize : 0.31 Acres. 
RoofType : Unknown. 
",Realty One Group
